Name,week,H,L,type
"Brazil, AC",62,0.8074036867022331,0.730630183406475,observed
"Brazil, AC",63,0.8096768188320139,0.7319749553662259,observed
"Brazil, AC",0,0,0,predicted
"Brazil, AC",1,4.0778780015270153e-4,1.1311617503552793e-5,predicted
"Brazil, AC",2,0.00213096223110184,1.3004700779384648e-4,predicted
"Brazil, AC",3,0.005590433772916639,5.423685083833026e-4,predicted
"Brazil, AC",4,0.011044305989691689,0.001492586545898066,predicted
"Brazil, AC",5,0.01865451187750257,0.0032684177011500946,predicted
"Brazil, AC",6,0.028504345237359785,0.006188504670580825,predicted
"Brazil, AC",7,0.04060650952236036,0.010588465600064649,predicted
"Brazil, AC",8,0.05490927449902241,0.016804101735570967,predicted
"Brazil, AC",9,0.07130316030665612,0.025151478506692974,predicted
"Brazil, AC",10,0.08962890506369448,0.03590454463864933,predicted
"Brazil, AC",11,0.1096867260273194,0.049271895510061225,predicted
"Brazil, AC",12,0.13124649712930697,0.06537511194112673,predicted
"Brazil, AC",13,0.15405827882399473,0.08423160364069303,predicted
"Brazil, AC",14,0.17786258863315063,0.10574483865546613,predicted
"Brazil, AC",15,0.2023998545271008,0.1297041221430814,predicted
"Brazil, AC",16,0.22741861404412322,0.15579475911369428,predicted
"Brazil, AC",17,0.25268217686715605,0.18361776670743332,predicted
"Brazil, AC",18,0.2779736284042644,0.21271670779263152,predicted
"Brazil, AC",19,0.3030991945648868,0.24260811845162158,predicted
"Brazil, AC",20,0.32789009958265575,0.27281166509918914,predicted
"Brazil, AC",21,0.3522031237729381,0.3028766171158457,predicted
"Brazil, AC",22,0.3759201075073841,0.33240225258109257,predicted
"Brazil, AC",23,0.39894665681930774,0.3610510945180474,predicted
"Brazil, AC",24,0.42121029248131675,0.38855507290931846,predicted
"Brazil, AC",25,0.4426582560442804,0.4147155962715289,predicted
"Brazil, AC",26,0.46325515026492314,0.43939900768124435,predicted
"Brazil, AC",27,0.4829805531598281,0.462529024566699,predicted
"Brazil, AC",28,0.5018267085274191,0.48407761912225905,predicted
"Brazil, AC",29,0.5197963635690919,0.5040555049676401,predicted
"Brazil, AC",30,0.5369007973705803,0.5225030570939011,predicted
"Brazil, AC",31,0.553158062729025,0.5394821755016945,predicted
"Brazil, AC",32,0.5685914477993088,0.5550693448512705,predicted
"Brazil, AC",33,0.5832281526273669,0.569349954206757,predicted
"Brazil, AC",34,0.5970981680442701,0.5824138180248614,predicted
"Brazil, AC",35,0.6102333398097068,0.5943517697059236,predicted
"Brazil, AC",36,0.6226665985806334,0.605253168091309,predicted
"Brazil, AC",37,0.6344313356083635,0.6152041522674316,predicted
"Brazil, AC",38,0.6455609045196056,0.6242864905292397,predicted
"Brazil, AC",39,0.6560882307106337,0.6325768878092394,predicted
"Brazil, AC",40,0.6660455114753627,0.6401466372405544,predicted
"Brazil, AC",47,0.7222585857510978,0.6778289661305548,predicted
"Brazil, AC",48,0.7286772833786329,0.6815780687928742,predicted
"Brazil, AC",49,0.7347619520196716,0.68502615387090815,predicted
"Brazil, AC",50,0.7405323777201259,0.6882006652158394,predicted
"Brazil, AC",51,0.7460071652464233,0.6911263597597825,predicted
"Brazil, AC",52,0.7512037912315178,0.6938255709626215,predicted
"Brazil, AC",53,0.7561386593846097,0.6963184499462188,predicted
"Brazil, AC",54,0.7608271565139204,0.6986231849425588,predicted
"Brazil, AC",55,0.7652837083986302,0.7007562001113887,predicted
"Brazil, AC",56,0.7695218347791859,0.702732335035538,predicted
"Brazil, AC",57,0.7735542029235499,0.7045650063296478,predicted
"Brazil, AC",58,0.777392679378199,0.7062663528387906,predicted
"Brazil, AC",59,0.7810483796332736,0.7078473658854924,predicted
"Brazil, AC",60,0.7845317155267262,0.7093180059675459,predicted
"Brazil, AC",61,0.7878524402871806,0.7106873072294299,predicted
"Brazil, AC",62,0.7910196911733449,0.7119634709376497,predicted
"Brazil, AC",63,0.794042029712388,0.7131539490921639,predicted
"Brazil, AL",0,0.00371670784732766,0.00382468217354321,observed
"Brazil, AL",1,0.00843460123860995,0.00996523434792611,observed
"Brazil, AL",2,0.0157241987872756,0.014232128393404299,observed
"Brazil, AL",3,0.0199383939195632,0.0164571919203397,observed
"Brazil, AL",4,0.0214619928934177,0.01770241076764,observed
"Brazil, AL",5,0.0249073504099055,0.020563247685233602,observed
"Brazil, AL",6,0.0313533780750836,0.0250914112456129,observed
"Brazil, AL",7,0.0401364037301426,0.0313868583217737,observed
"Brazil, AL",8,0.056796577659367804,0.0422083142763383,observed
"Brazil, AL",9,0.0803808897072909,0.0662080509799494,observed
"Brazil, AL",10,0.10451500117943899,0.0885441684025101,observed
"Brazil, AL",11,0.134239803828439,0.108623670749566,observed
"Brazil, AL",12,0.147863414740461,0.119010314529549,observed
"Brazil, AL",13,0.165886364610452,0.123932558499426,observed
"Brazil, AL",14,0.184571780360966,0.127670424080722,observed
"Brazil, AL",15,0.19994719375475,0.136438524521911,observed
"Brazil, AL",16,0.221433712282849,0.154133865903794,observed
"Brazil, AL",17,0.24231807051186302,0.17234459241292602,observed
"Brazil, AL",18,0.258911800944352,0.20032062369592002,observed
"Brazil, AL",19,0.27187824369445296,0.22227161122828298,observed
"Brazil, AL",20,0.287060084591571,0.24577736980553103,observed
"Brazil, AL",21,0.307280253738183,0.26622840862715,observed
"Brazil, AL",22,0.330751709549051,0.289664432315645,observed
"Brazil, AL",23,0.35950840673629003,0.321945914211357,observed
"Brazil, AL",26,0.41359365781614005,0.385966806556165,observed
"Brazil, AL",27,0.441941058643488,0.41047101484200604,observed
"Brazil, AL",28,0.469917124066358,0.445283961263976,observed
"Brazil, AL",29,0.517564158327391,0.48268740161752,observed
"Brazil, AL",30,0.54794042578131,0.516492036927202,observed
"Brazil, AL",31,0.586342340914307,0.5420617625270421,observed
"Brazil, AL",32,0.607905818223887,0.561405643822974,observed
"Brazil, AL",33,0.622961255783313,0.584369894697587,observed
"Brazil, AL",34,0.622550561550304,0.602804932381228,observed
"Brazil, AL",35,0.647538575994369,0.6189353192153461,observed
"Brazil, AL",37,0.6617063700879049,0.644359310102828,observed
"Brazil, AL",40,0.686760182149325,0.656972532206611,observed
"Brazil, AL",41,0.6887887255467411,0.659525365316059,observed
"Brazil, AL",48,0.708009454266804,0.6763003627348261,observed
"Brazil, AL",52,0.729174397086623,0.683566607926075,observed
"Brazil, AL",53,0.738383030083736,0.689666423131719,observed
"Brazil, AL",54,0.753236330618318,0.701016377296912,observed
"Brazil, AL",55,0.76747557784571,0.7125782601225249,observed
"Brazil, AL",56,0.78229242431007,0.7229272208341171,observed
"Brazil, AL",0,0,0,predicted
"Brazil, AL",1,3.416813092933875e-4,4.185481705360222e-5,predicted
"Brazil, AL",2,0.0018360591421985612,3.492224076904788e-4,predicted
"Brazil, AL",3,0.00489772811424843,0.0012069415580298086,predicted
"Brazil, AL",4,0.009794475924833195,0.0029054507214267724,predicted
"Brazil, AL",5,0.016706801812488695,0.0057320325427992706,predicted
"Brazil, AL",6,0.025743293189966834,0.009961885116796132,predicted
"Brazil, AL",7,0.03694703001736565,0.01584805654805747,predicted
"Brazil, AL",8,0.050300011843014976,0.02361048322282344,predicted
"Brazil, AL",9,0.06572796887214957,0.03342483659357923,predicted
"Brazil, AL",10,0.08310641270209589,0.045412163937621944,predicted
"Brazil, AL",11,0.10226808725369241,0.05963044290780707,predicted
"Brazil, AL",12,0.12301159282817534,0.07606913352816264,predicted
"Brazil, AL",13,0.14511073727509738,0.09464758864926884,predicted
"Brazil, AL",14,0.16832407075333605,0.11521779210912195,predicted
"Brazil, AL",15,0.19240405895859383,0.13757139067191868,predicted
"Brazil, AL",16,0.21710542033542674,0.1614504607718308,predicted
"Brazil, AL",17,0.24219227018286815,0.18656100414567311,predicted
"Brazil, AL",18,0.2674438531535487,0.2125878812425682,predicted
"Brazil, AL",19,0.2926587830274246,0.2392098128701989,predicted
"Brazil, AL",20,0.3176578280701602,0.26611320556369517,predicted
"Brazil, AL",21,0.3422853717884814,0.29300383857046064,predicted
"Brazil, AL",22,0.3664097389332706,0.3196158185895912,predicted
"Brazil, AL",23,0.389922606737723,0.3457175869988282,predicted
"Brazil, AL",26,0.4560292664564841,0.4192107790349326,predicted
"Brazil, AL",27,0.4764264462449334,0.44170517316137614,predicted
"Brazil, AL",28,0.49596300960630146,0.4630812866190495,predicted
"Brazil, AL",29,0.5146330134207584,0.4833110285746816,predicted
"Brazil, AL",30,0.5324402758709147,0.5023882975242505,predicted
"Brazil, AL",31,0.5493965581982855,0.5203248300642948,predicted
"Brazil, AL",32,0.5655199405322221,0.5371463675715026,predicted
"Brazil, AL",33,0.5808333976746385,0.5528892433145893,predicted
"Brazil, AL",34,0.5953635706386923,0.5675974349869941,predicted
"Brazil, AL",35,0.609139722958422,0.5813200860465073,predicted
"Brazil, AL",37,0.6345550404000954,0.6060193674089377,predicted
"Brazil, AL",40,0.667819996114042,0.6370076660945014,predicted
"Brazil, AL",41,0.6777409891769597,0.6459287421060258,predicted
"Brazil, AL",48,0.7338477706223798,0.6932594103265252,predicted
"Brazil, AL",52,0.7576047433223932,0.7115289207424736,predicted
"Brazil, AL",53,0.7628075389221286,0.7153748625510772,predicted
"Brazil, AL",54,0.767749699378203,0.7189743342033357,predicted
"Brazil, AL",55,0.7724464100452567,0.7223455137318447,predicted
"Brazil, AL",56,0.7769119199868206,0.7255051345764962,predicted
"Brazil, AM",0,0.00846802573730314,0.0150291845882328,observed
"Brazil, AM",1,0.0225694259387994,0.0471038560523541,observed
"Brazil, AM",2,0.031605808121260404,0.0650531613947279,observed
"Brazil, AM",3,0.0366107833360157,0.07511725665508019,observed
"Brazil, AM",4,0.041751233808952605,0.0784906602995576,observed
"Brazil, AM",5,0.044195036930083004,0.0837321999890847,observed
"Brazil, AM",6,0.0510046334189819,0.0948799926362144,observed
"Brazil, AM",7,0.0554657217376898,0.102451939216125,observed
"Brazil, AM",8,0.06263401401406439,0.10850761931636001,observed
"Brazil, AM",9,0.0689972693468162,0.11247649669257,observed
"Brazil, AM",10,0.072193371931706607,0.11991806305118499,observed
"Brazil, AM",11,0.0901533125416185,0.1334998429902,observed
"Brazil, AM",12,0.108374973495043,0.145404943232231,observed
"Brazil, AM",13,0.11447002858375299,0.153129304250002,observed
"Brazil, AM",14,0.120704383172192,0.157126097748601,observed
"Brazil, AM",15,0.14115390328728,0.161235006296187,observed
"Brazil, AM",16,0.158282917537348,0.171960162043123,observed
"Brazil, AM",17,0.172920824415663,0.19072476393575102,observed
"Brazil, AM",18,0.189556311489401,0.201134768375007,observed
"Brazil, AM",19,0.19519247537751902,0.212638443644074,observed
"Brazil, AM",20,0.205791390155398,0.241556478089993,observed
"Brazil, AM",21,0.22312892475357501,0.30454118712524,observed
"Brazil, AM",22,0.24152688259017802,0.335985384381761,observed
"Brazil, AM",23,0.265725398471312,0.36596524753139,observed
"Brazil, AM",24,0.285916323773318,0.38275886398521697,observed
"Brazil, AM",25,0.29389050988349497,0.39554399936282203,observed
"Brazil, AM",26,0.301559586680125,0.407006511114717,observed
"Brazil, AM",27,0.311974032162483,0.414832761089614,observed
"Brazil, AM",28,0.318521674391971,0.422278830702258,observed
"Brazil, AM",29,0.32547516465624,0.435369100802151,observed
"Brazil, AM",30,0.354305843897025,0.45468320403219004,observed
"Brazil, AM",31,0.350242728743745,0.47281170006594303,observed
"Brazil, AM",32,0.363240277285181,0.48804950519120405,observed
"Brazil, AM",33,0.376628110827398,0.497900374801861,observed
"Brazil, AM",34,0.390837661940238,0.509623808564306,observed
"Brazil, AM",35,0.403013910012093,0.521842223891244,observed
"Brazil, AM",36,0.412866361391942,0.527636695663428,observed
"Brazil, AM",37,0.42020665193960904,0.535920676868242,observed
"Brazil, AM",38,0.42730459661861403,0.540231286374843,observed
"Brazil, AM",39,0.43541643275759595,0.5479357324233429,observed
"Brazil, AM",40,0.44079533375191604,0.55156683783422,observed
"Brazil, AM",41,0.445150325922512,0.5543525112841801,observed
"Brazil, AM",42,0.451094891281594,0.55947074562797094,observed
"Brazil, AM",43,0.454652065054903,0.563298591067259,observed
"Brazil, AM",44,0.458226416560962,0.567488639958352,observed
"Brazil, AM",45,0.46222277944648704,0.5722455259813249,observed
"Brazil, AM",46,0.467595904045722,0.578442867837142,observed
"Brazil, AM",47,0.47251514841967596,0.5819337890869271,observed
"Brazil, AM",48,0.474552897835543,0.5838874594953559,observed
"Brazil, AM",50,0.476672603967587,0.587148724087101,observed
"Brazil, AM",51,0.47864402461205996,0.590500095158643,observed
"Brazil, AM",52,0.481658388648105,0.593936003835104,observed
"Brazil, AM",55,0.509454486150496,0.632300863617138,observed
"Brazil, AM",56,0.51774245686706,0.647331550584878,observed
"Brazil, AM",57,0.526743507652588,0.652963016520379,observed
"Brazil, AM",58,0.529268952806202,0.656429245192372,observed
"Brazil, AM",59,0.534322011178038,0.663703803408857,observed
"Brazil, AM",61,0.542893246651763,0.673776842819417,observed
"Brazil, AM",62,0.544836965593109,0.676522706343371,observed
"Brazil, AM",63,0.546680851816343,0.679324499053632,observed
"Brazil, AM",67,0.564497671361691,0.695741967243918,observed
"Brazil, AM",68,0.565019081608025,0.6964651860264119,observed
"Brazil, AM",0,0,0,predicted
"Brazil, AM",1,0.001253559028448248,0.0019179147089975399,predicted
"Brazil, AM",2,0.004517548770494424,0.00673444671097012,predicted
"Brazil, AM",3,0.009518843109086012,0.013964714018988317,predicted
"Brazil, AM",4,0.016079074860999455,0.023306212951865912,predicted
"Brazil, AM",5,0.024040072164207907,0.03449987461660777,predicted
"Brazil, AM",6,0.03325036942689373,0.04730519962309871,predicted
"Brazil, AM",7,0.043561851504183735,0.061493623317591777,predicted
"Brazil, AM",8,0.05482957240371313,0.07684739539255117,predicted
"Brazil, AM",9,0.0669127196738,0.09316035237750442,predicted
